731 3
350 498 331 
566 479 757 
791 919 250 
98 78 705 
249 819 723 
45 397 519 
798 420 945 
994 856 319 
153 115 461 
466 316 691 
998 428 660 
474 606 798 
992 975 177 
183 887 723 
442 345 817 
13 805 409 
341 74 483 
596 376 149 
717 835 820 
118 833 896 
959 608 380 
951 172 881 
464 655 443 
915 793 210 
627 186 437 
183 626 95 
243 341 874 
100 493 94 
180 465 587 
85 843 19 
115 304 314 
914 394 976 
40 48 509 
654 263 571 
727 11 241 
372 368 855 
1000 146 182 
340 153 594 
572 21 781 
201 895 154 
914 388 291 
650 476 244 
999 474 993 
6 279 567 
674 927 401 
568 48 730 
773 693 355 
493 659 721 
613 757 509 
282 471 405 
762 275 151 
113 990 18 
957 15 858 
24 23 778 
423 820 254 
341 754 132 
776 282 391 
58 967 181 
73 42 411 
874 613 80 
179 614 56 
892 24 836 
979 820 634 
49 313 787 
311 654 563 
927 698 451 
967 540 158 
51 347 685 
800 94 490 
37 247 276 
536 662 45 
452 101 633 
171 128 119 
661 800 480 
302 149 127 
51 457 671 
455 186 345 
581 719 899 
376 541 397 
322 148 994 
958 93 361 
358 865 970 
981 420 887 
109 710 496 
463 987 33 
952 902 986 
811 349 6 
994 873 83 
807 279 922 
189 159 738 
544 567 786 
148 193 12 
604 748 744 
979 950 847 
15 303 71 
837 54 619 
696 33 543 
263 187 723 
451 413 909 
860 556 494 
76 838 349 
820 582 34 
766 552 850 
119 28 327 
110 862 439 
280 252 279 
701 604 578 
804 889 790 
981 868 731 
113 996 275 
529 339 219 
990 396 184 
791 79 560 
400 656 221 
678 775 552 
962 702 591 
222 136 901 
427 578 596 
548 533 93 
230 630 624 
116 222 220 
97 885 5 
267 419 624 
489 207 961 
74 369 48 
118 750 569 
767 448 411 
953 359 686 
347 433 839 
540 337 978 
688 192 525 
810 568 569 
848 662 972 
246 969 825 
315 747 686 
576 703 529 
659 994 437 
514 696 203 
744 660 20 
700 75 675 
846 85 763 
20 504 488 
716 935 299 
998 403 482 
574 519 969 
916 983 373 
157 336 384 
382 445 485 
186 803 283 
44 93 352 
569 820 865 
152 996 787 
503 706 158 
382 877 126 
139 464 650 
197 288 56 
951 573 970 
975 304 989 
783 44 711 
883 115 230 
446 520 285 
60 438 502 
581 594 766 
984 570 822 
65 202 970 
47 737 651 
197 94 125 
146 509 448 
41 125 241 
835 239 692 
458 341 945 
317 582 479 
420 364 364 
206 430 672 
627 766 398 
930 108 569 
251 383 478 
334 902 77 
642 148 112 
667 889 818 
935 118 346 
526 434 824 
89 554 70 
393 223 696 
287 378 472 
399 501 544 
394 23 526 
656 999 660 
231 350 201 
913 323 539 
5 185 730 
25 367 332 
797 881 622 
813 52 833 
830 756 239 
832 764 590 
816 870 820 
924 151 325 
768 829 561 
533 918 352 
188 33 920 
115 63 654 
257 86 663 
890 426 228 
470 753 978 
659 731 723 
949 90 942 
100 380 940 
732 259 339 
394 636 160 
317 77 268 
152 658 391 
810 831 70 
971 56 205 
322 293 524 
134 273 786 
362 638 799 
282 131 832 
237 688 496 
734 202 305 
296 890 323 
443 651 564 
361 933 403 
210 778 505 
194 257 72 
592 369 228 
270 702 689 
803 663 931 
254 784 9 
818 206 441 
174 74 881 
29 62 945 
752 223 967 
718 7 821 
304 711 943 
564 287 493 
484 310 716 
51 971 158 
66 985 536 
329 788 378 
289 436 662 
126 628 507 
451 542 560 
620 333 910 
684 853 300 
951 958 735 
317 639 619 
730 496 9 
16 438 630 
329 271 446 
281 433 767 
460 923 448 
859 800 777 
77 709 240 
112 983 610 
244 9 461 
155 497 0 
474 621 605 
0 682 243 
890 771 37 
606 213 778 
904 807 689 
833 354 136 
720 85 259 
762 273 966 
992 706 311 
860 403 761 
669 55 377 
895 477 217 
13 684 724 
557 408 630 
705 117 834 
136 37 804 
203 562 307 
856 181 35 
126 867 421 
60 2 421 
789 40 150 
262 636 992 
295 600 394 
14 838 968 
782 73 133 
854 825 812 
309 546 197 
73 732 134 
790 972 96 
531 465 387 
495 946 278 
348 361 698 
168 506 60 
216 236 824 
783 829 409 
478 901 174 
201 200 805 
99 102 140 
982 831 408 
841 650 185 
960 353 670 
667 573 268 
683 500 207 
862 53 447 
166 457 967 
505 102 813 
587 903 206 
324 20 56 
774 672 656 
795 355 682 
257 163 150 
194 919 638 
739 545 116 
214 291 147 
512 70 59 
